17.2741   36        200       0         1.5       20        
17.2741        0              0              
17.2741        0.0789474      -1.61801e-13   
17.2741        0.157895       -6.23006e-13   
17.2741        0.236842       -1.34981e-12   
17.2741        0.315789       -2.30872e-12   
17.2741        0.394737       -3.47235e-12   
17.2741        0.473684       -4.81236e-12   
17.2741        0.552632       -6.30285e-12   
17.2741        0.631579       -7.92141e-12   
17.2741        0.710526       -9.64791e-12   
17.2741        0.789474       -1.14663e-11   
17.2741        0.868421       -1.33524e-11   
17.2741        0.947368       -1.52954e-11   
17.2741        1.02632        -1.72798e-11   
17.2741        1.10526        -1.92918e-11   
17.2741        1.18421        -2.13205e-11   
17.2741        1.26316        -2.33542e-11   
17.2741        1.34211        -2.5385e-11    
17.2741        1.42105        -2.74063e-11   
17.2741        1.5            -2.94028e-11   
17.3682        0              0              
17.3682        0.0789474      -3.13162e-09   
17.3682        0.157895       -1.20897e-08   
17.3682        0.236842       -2.62462e-08   
17.3682        0.315789       -4.50074e-08   
17.3682        0.394737       -6.78185e-08   
17.3682        0.473684       -9.41622e-08   
17.3682        0.552632       -1.23555e-07   
17.3682        0.631579       -1.55552e-07   
17.3682        0.710526       -1.89744e-07   
17.3682        0.789474       -2.25749e-07   
17.3682        0.868421       -2.63224e-07   
17.3682        0.947368       -3.0185e-07    
17.3682        1.02632        -3.41333e-07   
17.3682        1.10526        -3.81419e-07   
17.3682        1.18421        -4.21852e-07   
17.3682        1.26316        -4.62427e-07   
17.3682        1.34211        -5.0294e-07    
17.3682        1.42105        -5.43222e-07   
17.3682        1.5            -5.831e-07     
17.4623        0              0              
17.4623        0.0789474      -1.70813e-08   
17.4623        0.157895       -6.59425e-08   
17.4623        0.236842       -1.43158e-07   
17.4623        0.315789       -2.45488e-07   
17.4623        0.394737       -3.69905e-07   
17.4623        0.473684       -5.13588e-07   
17.4623        0.552632       -6.73899e-07   
17.4623        0.631579       -8.48409e-07   
17.4623        0.710526       -1.03488e-06   
17.4623        0.789474       -1.23124e-06   
17.4623        0.868421       -1.43561e-06   
17.4623        0.947368       -1.64625e-06   
17.4623        1.02632        -1.86155e-06   
17.4623        1.10526        -2.08013e-06   
17.4623        1.18421        -2.3006e-06    
17.4623        1.26316        -2.52183e-06   
17.4623        1.34211        -2.74271e-06   
17.4623        1.42105        -2.96231e-06   
17.4623        1.5            -3.1797e-06    
17.5564        0              0              
17.5564        0.0789474      -3.29471e-08   
17.5564        0.157895       -1.27417e-07   
17.5564        0.236842       -2.77071e-07   
17.5564        0.315789       -4.7587e-07    
17.5564        0.394737       -7.18102e-07   
17.5564        0.473684       -9.98409e-07   
17.5564        0.552632       -1.31177e-06   
17.5564        0.631579       -1.6535e-06    
17.5564        0.710526       -2.01926e-06   
17.5564        0.789474       -2.40505e-06   
17.5564        0.868421       -2.80715e-06   
17.5564        0.947368       -3.22215e-06   
17.5564        1.02632        -3.64687e-06   
17.5564        1.10526        -4.07861e-06   
17.5564        1.18421        -4.51461e-06   
17.5564        1.26316        -4.95251e-06   
17.5564        1.34211        -5.39008e-06   
17.5564        1.42105        -5.82563e-06   
17.5564        1.5            -6.25694e-06   
17.6505        0              0              
17.6505        0.0789474      -5.47295e-08   
17.6505        0.157895       -2.11877e-07   
17.6505        0.236842       -4.61178e-07   
17.6505        0.315789       -7.92796e-07   
17.6505        0.394737       -1.19737e-06   
17.6505        0.473684       -1.66607e-06   
17.6505        0.552632       -2.19062e-06   
17.6505        0.631579       -2.76323e-06   
17.6505        0.710526       -3.37668e-06   
17.6505        0.789474       -4.02429e-06   
17.6505        0.868421       -4.6998e-06    
17.6505        0.947368       -5.39748e-06   
17.6505        1.02632        -6.11195e-06   
17.6505        1.10526        -6.8387e-06    
17.6505        1.18421        -7.57309e-06   
17.6505        1.26316        -8.31095e-06   
17.6505        1.34211        -9.04856e-06   
17.6505        1.42105        -9.78315e-06   
17.6505        1.5            -1.05106e-05   
17.7446        0              0              
17.7446        0.0789474      -7.54258e-08   
17.7446        0.157895       -2.92435e-07   
17.7446        0.236842       -6.37402e-07   
17.7446        0.315789       -1.09715e-06   
17.7446        0.394737       -1.65907e-06   
17.7446        0.473684       -2.31117e-06   
17.7446        0.552632       -3.0421e-06    
17.7446        0.631579       -3.84121e-06   
17.7446        0.710526       -4.69848e-06   
17.7446        0.789474       -5.60465e-06   
17.7446        0.868421       -6.55097e-06   
17.7446        0.947368       -7.52951e-06   
17.7446        1.02632        -8.53257e-06   
17.7446        1.10526        -9.55389e-06   
17.7446        1.18421        -1.05866e-05   
17.7446        1.26316        -1.16252e-05   
17.7446        1.34211        -1.26644e-05   
17.7446        1.42105        -1.36996e-05   
17.7446        1.5            -1.47256e-05   
17.8387        0              0              
17.8387        0.0789474      -9.96044e-08   
17.8387        0.157895       -3.86634e-07   
17.8387        0.236842       -8.43642e-07   
17.8387        0.315789       -1.45362e-06   
17.8387        0.394737       -2.20022e-06   
17.8387        0.473684       -3.06776e-06   
17.8387        0.552632       -4.04136e-06   
17.8387        0.631579       -5.10699e-06   
17.8387        0.710526       -6.25136e-06   
17.8387        0.789474       -7.46216e-06   
17.8387        0.868421       -8.72774e-06   
17.8387        0.947368       -1.00375e-05   
17.8387        1.02632        -1.13811e-05   
17.8387        1.10526        -1.27501e-05   
17.8387        1.18421        -1.41349e-05   
17.8387        1.26316        -1.55286e-05   
17.8387        1.34211        -1.6924e-05    
17.8387        1.42105        -1.83142e-05   
17.8387        1.5            -1.96929e-05   
17.9328        0              0              
17.9328        0.0789474      -1.20932e-07   
17.9328        0.157895       -4.70046e-07   
